course_code,course_name,section_name,session_date,student_code,student_name,attendance_status,minutes_late,source,week_number,day_of_week,session_start_time,course_load
CS101,Intro to Programming,Section 2,2026-02-14,S3002,Synthetic Student 3002,excused,0,manual,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3003,Synthetic Student 3003,absent,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3005,Synthetic Student 3005,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3006,Synthetic Student 3006,present,0,qr,1,Saturday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-14,S3009,Synthetic Student 3009,absent,0,qr,1,Saturday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-14,S3011,Synthetic Student 3011,absent,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3016,Synthetic Student 3016,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3017,Synthetic Student 3017,present,0,qr,1,Saturday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-14,S3018,Synthetic Student 3018,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3019,Synthetic Student 3019,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3021,Synthetic Student 3021,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3025,Synthetic Student 3025,present,0,qr,1,Saturday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-14,S3027,Synthetic Student 3027,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3029,Synthetic Student 3029,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3033,Synthetic Student 3033,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3035,Synthetic Student 3035,present,0,qr,1,Saturday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-14,S3040,Synthetic Student 3040,absent,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3042,Synthetic Student 3042,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3044,Synthetic Student 3044,present,0,qr,1,Saturday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-14,S3046,Synthetic Student 3046,absent,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3047,Synthetic Student 3047,present,0,qr,1,Saturday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-14,S3048,Synthetic Student 3048,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3049,Synthetic Student 3049,present,0,qr,1,Saturday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-14,S3050,Synthetic Student 3050,absent,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3051,Synthetic Student 3051,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3054,Synthetic Student 3054,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3057,Synthetic Student 3057,absent,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3062,Synthetic Student 3062,absent,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3067,Synthetic Student 3067,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3070,Synthetic Student 3070,absent,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3075,Synthetic Student 3075,present,0,qr,1,Saturday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-14,S3078,Synthetic Student 3078,present,0,qr,1,Saturday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-14,S3079,Synthetic Student 3079,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3081,Synthetic Student 3081,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3083,Synthetic Student 3083,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3084,Synthetic Student 3084,present,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3085,Synthetic Student 3085,absent,0,qr,1,Saturday,12:00,5
CS101,Intro to Programming,Section 2,2026-02-14,S3087,Synthetic Student 3087,present,0,qr,1,Saturday,12:00,3
CS101,Intro to Programming,Section 2,2026-02-14,S3088,Synthetic Student 3088,absent,0,qr,1,Saturday,12:00,4
PHY101,Physics I,Section 1,2026-02-14,S3001,Synthetic Student 3001,present,0,qr,1,Saturday,08:00,2
PHY101,Physics I,Section 1,2026-02-14,S3009,Synthetic Student 3009,present,0,qr,1,Saturday,08:00,4
PHY101,Physics I,Section 1,2026-02-14,S3010,Synthetic Student 3010,present,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3018,Synthetic Student 3018,present,0,qr,1,Saturday,08:00,3
PHY101,Physics I,Section 1,2026-02-14,S3020,Synthetic Student 3020,absent,0,qr,1,Saturday,08:00,2
PHY101,Physics I,Section 1,2026-02-14,S3026,Synthetic Student 3026,late,20,qr,1,Saturday,08:00,2
PHY101,Physics I,Section 1,2026-02-14,S3027,Synthetic Student 3027,absent,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3029,Synthetic Student 3029,excused,0,manual,1,Saturday,08:00,3
PHY101,Physics I,Section 1,2026-02-14,S3030,Synthetic Student 3030,absent,0,qr,1,Saturday,08:00,3
PHY101,Physics I,Section 1,2026-02-14,S3033,Synthetic Student 3033,present,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3036,Synthetic Student 3036,absent,0,qr,1,Saturday,08:00,4
PHY101,Physics I,Section 1,2026-02-14,S3037,Synthetic Student 3037,present,0,qr,1,Saturday,08:00,3
PHY101,Physics I,Section 1,2026-02-14,S3041,Synthetic Student 3041,present,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3043,Synthetic Student 3043,present,0,qr,1,Saturday,08:00,4
PHY101,Physics I,Section 1,2026-02-14,S3044,Synthetic Student 3044,present,0,qr,1,Saturday,08:00,4
PHY101,Physics I,Section 1,2026-02-14,S3045,Synthetic Student 3045,absent,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3048,Synthetic Student 3048,present,0,qr,1,Saturday,08:00,5
PHY101,Physics I,Section 1,2026-02-14,S3050,Synthetic Student 3050,present,0,qr,1,Saturday,08:00,5
